dataelement,shortname,code,dataelementuid,dataelementdesc
"TB_PREV (D, DSD, TherapyType): IPT","TB_PREV (D, DSD, TherapyType)",TB_PREV_D_DSD_TherapyType,meT9WfipIuE,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)."
"TB_PREV (D, TA, Aggregated Age/Sex): IPT","TB_PREV (D, TA, Aggregated Age/Sex)",TB_PREV_D_TA_Aggregated_Age_Sex,J2ubaq5iRg3,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)."
"TB_PREV (D, TA): IPT","TB_PREV (D, TA)",TB_PREV_D_TA,krD97SgE251,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)."
"TB_PREV (D, TA, TherapyType): IPT","TB_PREV (D, TA, TherapyType)",TB_PREV_D_TA_TherapyType,MPI5pjnQuSl,"Number of ART patients who are expected to complete a course of TB preventive therapy during the reporting period (for programs using continuous IPT, this includes only the patients who are scheduled to complete the first 6 months of therapy)."
"TB_PREV (N, DSD, Aggregated Age/Sex): IPT","TB_PREV (N, DSD, Aggregated Age/Sex)",TB_PREV_N_DSD_Aggregated_Age_Sex,LBgelwOJz0l,"Number of ART patients who completed a course of TB preventive therapy during the reporting period (for continuous IPT programs, this includes the patients who have completed the first 6 months of isoniazid preventive therapy (IPT))"
"TB_PREV (N, DSD): IPT","TB_PREV (N, DSD)",TB_PREV_N_DSD,KE1JW0JRUmo,"Number of ART patients who completed a course of TB preventive therapy during the reporting period (for continuous IPT programs, this includes the patients who have completed the first 6 months of isoniazid preventive therapy (IPT))"
"TB_PREV (N, DSD, TherapyType): IPT","TB_PREV (N, DSD, TherapyType)",TB_PREV_N_DSD_TherapyType,SIhWwjPIBQW,"Number of ART patients who completed a course of TB preventive therapy during the reporting period (for continuous IPT programs, this includes the patients who have completed the first 6 months of isoniazid preventive therapy (IPT))"
"TB_PREV (N, TA, Aggregated Age/Sex): IPT","TB_PREV (N, TA, Aggregated Age/Sex)",TB_PREV_N_TA_Aggregated_Age_Sex,FMiEa1CjjEY,"Number of ART patients who completed a course of TB preventive therapy during the reporting period (for continuous IPT programs, this includes the patients who have completed the first 6 months of isoniazid preventive therapy (IPT))"
"TB_PREV (N, TA): IPT","TB_PREV (N, TA)",TB_PREV_N_TA,uBlAoClft6P,"Number of ART patients who completed a course of TB preventive therapy during the reporting period (for continuous IPT programs, this includes the patients who have completed the first 6 months of isoniazid preventive therapy (IPT))"
"TB_PREV (N, TA, TherapyType): IPT","TB_PREV (N, TA, TherapyType)",TB_PREV_N_TA_TherapyType,TSUmql8MRe6,"Number of ART patients who completed a course of TB preventive therapy during the reporting period (for continuous IPT programs, this includes the patients who have completed the first 6 months of isoniazid preventive therapy (IPT))"
"TB_STAT (D, DSD, Aggregated Age/Sex): New/Relapsed TB","TB_STAT (D, DSD, Aggregated Age/Sex)",TB_STAT_D_DSD_Aggregated_Age_Sex,uOfuBlHwdn7,"Total number of new and relapsed TB cases, during the reporting period."
"TB_STAT (D, DSD): New/Relapsed TB","TB_STAT (D, DSD)",TB_STAT_D_DSD,LZXAdOjlBwi,"Total number of new and relapsed TB cases, during the reporting period."
"TB_STAT (D, TA, Aggregated Age/Sex): New/Relapsed TB","TB_STAT (D, TA, Aggregated Age/Sex)",TB_STAT_D_TA_Aggregated_Age_Sex,AcTftDyXTzF,"Total number of new and relapsed TB cases, during the reporting period."
"TB_STAT (D, TA): New/Relapsed TB","TB_STAT (D, TA)",TB_STAT_D_TA,TcyIxVHZd8I,"Total number of new and relapsed TB cases, during the reporting period."
"TB_STAT (N, DSD, Age/Sex/KnownNewPosNeg): New/Relapsed TB with HIV","TB_STAT (N, DSD, Age/Sex/KnownNewPosNeg)",TB_STAT_N_DSD_Age_Sex_KnownNewPosNeg,tnthrE5AclR,"Number of new and relapsed TB cases with documented HIV status, during the reporting period."
"TB_STAT (N, DSD): New/Relapsed TB with HIV","TB_STAT (N, DSD)",TB_STAT_N_DSD,GLx5aAKX4MD,"Number of new and relapsed TB cases with documented HIV status, during the reporting period."
"TB_STAT (N, TA, Age/Sex/KnownNewPosNeg): New/Relapsed TB with HIV","TB_STAT (N, TA, Age/Sex/KnownNewPosNeg)",TB_STAT_N_TA_Age_Sex_KnownNewPosNeg,s0ZhN1hwLa6,"Number of new and relapsed TB cases with documented HIV status, during the reporting period."
"TB_STAT (N, TA): New/Relapsed TB with HIV","TB_STAT (N, TA)",TB_STAT_N_TA,rTZdUyIFsGy,"Number of new and relapsed TB cases with documented HIV status, during the reporting period."
"TX_CURR (N, DSD, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, DSD, Age>10/Sex)",TX_CURR_N_DSD_Agegt10_Sex,dUM87VF1M8Z,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, DSD, AgeLessThanTen): Receiving ART","TX_CURR (N, DSD, Age<10)",TX_CURR_N_DSD_Agelt10,jwW4kVZ3GDh,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, DSD, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, DSD, Aggregated Age/Sex) v2",TX_CURR_N_DSD_Aggregated_Age_Sex_v2,iBQ8i1QQ887,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, DSD): Receiving ART","TX_CURR (N, DSD)",TX_CURR_N_DSD,OuudMtJsh2z,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA, AgeAboveTen/Sex): Receiving ART","TX_CURR (N, TA, Age>10/Sex)",TX_CURR_N_TA_Agegt10_Sex,tALOAlpbmui,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA, AgeLessThanTen): Receiving ART","TX_CURR (N, TA, Age<10)",TX_CURR_N_TA_Agelt10,qMoN7vn85cC,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA, Aggregated Age/Sex) v2: Receiving ART","TX_CURR (N, TA, Aggregated Age/Sex) v2",TX_CURR_N_TA_Aggregated_Age_Sex_v2,Gbnh3cRgxYz,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA): Receiving ART","TX_CURR (N, TA)",TX_CURR_N_TA,YTRBA6EORhs,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_NEW (N, DSD, AgeAboveTen/Sex): New on ART","TX_NEW (N, DSD, Age>10/Sex)",TX_NEW_N_DSD_Agegt10_Sex,orqW7wbumRY,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, AgeLessThanTen): New on ART","TX_NEW (N, DSD, Age<10)",TX_NEW_N_DSD_Agelt10,FGNN9F5GzJt,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, DSD, Aggregated Age/Sex) v2",TX_NEW_N_DSD_Aggregated_Age_Sex_v2,PAbk059KEmk,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, KeyPop): New on ART","TX_NEW (N, DSD, KeyPop)",TX_NEW_N_DSD_KeyPop,Mef7rkxkw1f,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD): New on ART","TX_NEW (N, DSD)",TX_NEW_N_DSD,tG7ocyZ8kVA,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, Preg/Feeding): New on ART","TX_NEW (N, DSD, Preg/Feeding)",TX_NEW_N_DSD_Preg_Feeding,QI0LrOAmBCG,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, DSD, TB Diagnosis): New on ART","TX_NEW (N, DSD, TB Diagnosis)",TX_NEW_N_DSD_TB_Diagnosis,J72ojOG6yvt,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, AgeAboveTen/Sex): New on ART","TX_NEW (N, TA, Age>10/Sex)",TX_NEW_N_TA_Agegt10_Sex,ylGx6xLKG8I,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, AgeLessThanTen): New on ART","TX_NEW (N, TA, Age<10)",TX_NEW_N_TA_Agelt10,U9PvBnpPbNP,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, Aggregated Age/Sex) v2: New on ART","TX_NEW (N, TA, Aggregated Age/Sex) v2",TX_NEW_N_TA_Aggregated_Age_Sex_v2,NCFa1461aJJ,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, KeyPop): New on ART","TX_NEW (N, TA, KeyPop)",TX_NEW_N_TA_KeyPop,VNJeucGzUZ7,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA): New on ART","TX_NEW (N, TA)",TX_NEW_N_TA,cdm1DK9jE9w,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, Preg/Feeding): New on ART","TX_NEW (N, TA, Preg/Feeding)",TX_NEW_N_TA_Preg_Feeding,JiEYm4EWwtR,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA, TB Diagnosis): New on ART","TX_NEW (N, TA, TB Diagnosis)",TX_NEW_N_TA_TB_Diagnosis,OPckUeESSr2,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_PVLS (D, DSD, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age>10/Sex/Indication)",TX_PVLS_D_DSD_Agegt10_Sex_Indication,yaa1JOxDEnG,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, DSD, AgeLessThanTen/Indication): Viral Load Documented","TX_PVLS (D, DSD, Age<10/Indication)",TX_PVLS_D_DSD_Agelt10_Indication,OPmsmx2Rvz2,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, DSD, Aggregated Age/Sex/Indication): Viral Load Documented","TX_PVLS (D, DSD, Aggregated Age/Sex/Ind)",TX_PVLS_D_DSD_Aggregated_Age_Sex_Ind,DkkvvGC9Xql,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, DSD, PregBF/Indication): Viral Load Documented","TX_PVLS (D, DSD, PregBF/Indication)",TX_PVLS_D_DSD_PregBF_Indication,eQdclZl2AoR,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, DSD, RoutineTargeted) v2: Viral Load Documented","TX_PVLS (D, DSD, RoutineTargeted) v2",TX_PVLS_D_DSD_RoutineTargeted_v2,NtwSTwGUYzt,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, DSD): Viral Load Documented","TX_PVLS (D, DSD)",TX_PVLS_D_DSD,baOWBUVWsx0,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA, AgeAboveTen/Sex/Indication): Viral Load Documented","TX_PVLS (D, TA, Age>10/Sex/Indication)",TX_PVLS_D_TA_Agegt10_Sex_Indication,NBwNWxVILPr,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA, AgeLessThanTen/Indication): Viral Load Documented","TX_PVLS (D, TA, Age<10/Indication)",TX_PVLS_D_TA_Agelt10_Indication,E4rmmgBVP5A,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA, Aggregated Age/Sex/Indication): Viral Load Documented","TX_PVLS (D, TA, Aggregated Age/Sex/Ind)",TX_PVLS_D_TA_Aggregated_Age_Sex_Ind,ijNOkoDJX6d,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA, PregBF/Indication): Viral Load Documented","TX_PVLS (D, TA, PregBF/Indication)",TX_PVLS_D_TA_PregBF_Indication,PsGw5Fibj3P,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA, RoutineTargeted) v2: Viral Load Documented","TX_PVLS (D, TA, RoutineTargeted) v2",TX_PVLS_D_TA_RoutineTargeted_v2,YCJoGPP9akp,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (D, TA): Viral Load Documented","TX_PVLS (D, TA)",TX_PVLS_D_TA,MMWrCwgC4yq,"Number of adults and pediatric ART patients with a virual load result documented in the patient medical record and/or laboratory records in the past 12 months."
"TX_PVLS (N, DSD, AgeAboveTen/Sex/Indication): 12 Months Viral Load < 1000","TX_PVLS (N, DSD, Age>10/Sex/Indication)",TX_PVLS_N_DSD_Agegt10_Sex_Indication,lwpih83Nkwl,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, DSD, AgeLessThanTen/Indication): 12 Months Viral Load < 1000","TX_PVLS (N, DSD, Age<10/Indication)",TX_PVLS_N_DSD_Agelt10_Indication,oLVvBOWrvhM,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, DSD, Aggregated Age/Sex/Indication): 12 Months Viral Load < 1000","TX_PVLS (N, DSD, Aggregated Age/Sex/Ind)",TX_PVLS_N_DSD_Aggregated_Age_Sex_Ind,iwKU77GvvwF,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, DSD, PregBF/Indication): 12 Months Viral Load < 1000","TX_PVLS (N, DSD, PregBF/Indication)",TX_PVLS_N_DSD_PregBF_Indication,JTmqyoIWNsj,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, DSD, RoutineTargeted) v2: 12 Months Viral Load < 1000","TX_PVLS (N, DSD, RoutineTargeted) v2",TX_PVLS_N_DSD_RoutineTargeted_v2,YQEFlW4vClz,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, TA, AgeAboveTen/Sex/Indication): 12 Months Viral Load < 1000","TX_PVLS (N, TA, Age>10/Sex/Indication)",TX_PVLS_N_TA_Agegt10_Sex_Indication,JesEpFiMxwV,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, TA, AgeLessThanTen/Indication): 12 Months Viral Load < 1000","TX_PVLS (N, TA, Age<10/Indication)",TX_PVLS_N_TA_Agelt10_Indication,WazaMotgzvf,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, TA, Aggregated Age/Sex/Indication): 12 Months Viral Load < 1000","TX_PVLS (N, TA, Aggregated Age/Sex/Ind)",TX_PVLS_N_TA_Aggregated_Age_Sex_Ind,XTcwLN5R3GL,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, TA, PregBF/Indication): 12 Months Viral Load < 1000","TX_PVLS (N, TA, PregBF/Indication)",TX_PVLS_N_TA_PregBF_Indication,pICN9lMKMAl,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_PVLS (N, TA, RoutineTargeted) v2: 12 Months Viral Load < 1000","TX_PVLS (N, TA, RoutineTargeted) v2",TX_PVLS_N_TA_RoutineTargeted_v2,ptcrUFB3k5M,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months. Numerator will auto-calculate from the Indication Disaggregates."
"TX_RET (D, DSD, 24mo): Alive at 24 mo. after initiating ART","TX_RET (D, DSD, 24mo)",TX_RET_D_DSD_24mo,dYp14Krj5KB,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, DSD, 36mo): Alive at 36 mo. after initiating ART","TX_RET (D, DSD, 36mo)",TX_RET_D_DSD_36mo,dqx4yP7q3Gr,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, DSD, AgeAboveTen/Sex): Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Age>10/Sex)",TX_RET_D_DSD_Agegt10_Sex,Ml2nC4THqWW,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, DSD, AgeLessThanTen): Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Age<10)",TX_RET_D_DSD_Agelt10,kutJs21aWUQ,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, DSD, Aggregated Age/Sex) v2: Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Aggregated Age/Sex) v2",TX_RET_D_DSD_Aggregated_Age_Sex_v2,ARm3qQfdO0d,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, DSD, Preg/Feeding): Alive at 12 mo. after initiating ART","TX_RET (D, DSD, Preg/Feeding)",TX_RET_D_DSD_Preg_Feeding,aal61UVcc5M,"Total number of adults and children who initiated ART in the 12, 24, 36 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, DSD): Total Initiated ART in 12 mo.","TX_RET (D, DSD)",TX_RET_D_DSD,XU4vM2XkDqP,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, 24mo): Alive at 24 mo. after initiating ART","TX_RET (D, TA, 24mo)",TX_RET_D_TA_24mo,U8UK8TTqcVp,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, 36mo): Alive at 36 mo. after initiating ART","TX_RET (D, TA, 36mo)",TX_RET_D_TA_36mo,nKKCIdE945C,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, AgeAboveTen/Sex): Alive at 12 mo. after initiating ART","TX_RET (D, TA, Age>10/Sex)",TX_RET_D_TA_Agegt10_Sex,G6Tg1hNLlUu,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, AgeLessThanTen): Alive at 12 mo. after initiating ART","TX_RET (D, TA, Age<10)",TX_RET_D_TA_Agelt10,C90vdU8A2tq,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, Aggregated Age/Sex) v2: Alive at 12 mo. after initiating ART","TX_RET (D, TA, Aggregated Age/Sex) v2",TX_RET_D_TA_Aggregated_Age_Sex_v2,TyOBz6ZbiZl,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA, Preg/Feeding): Alive at 12 mo. after initiating ART","TX_RET (D, TA, Preg/Feeding)",TX_RET_D_TA_Preg_Feeding,UGj6ot4NTm7,"Total number of adults and children who initiated ART in the 12, 24, 36 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (D, TA): Total Initiated ART in 12 mo.","TX_RET (D, TA)",TX_RET_D_TA,KHV0ZFCVwHj,"Total number of adults and children who initiated ART in the 12 months prior to the beginning of the reporting period, including those who have died, those who have stopped ART, and those lost to follow-up"
"TX_RET (N, DSD, 24mo): Alive at 24 mo. after initiating ART","TX_RET (N, DSD, 24mo)",TX_RET_N_DSD_24mo,NzvixJ6Q8aF,"Number of adults and children who are still alive and on treatment at 24 months after initiating ART"
"TX_RET (N, DSD, 36mo): Alive at 36 mo. after initiating ART","TX_RET (N, DSD, 36mo)",TX_RET_N_DSD_36mo,fBu3qZDJNJi,"Number of adults and children who are still alive and on treatment at 36 months after initiating ART"
"TX_RET (N, DSD, AgeAboveTen/Sex): Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Age>10/Sex)",TX_RET_N_DSD_Agegt10_Sex,aWJbStT7WGl,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, DSD, AgeLessThanTen): Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Age<10)",TX_RET_N_DSD_Agelt10,x5IeTUM9quE,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, DSD, Aggregated Age/Sex) v2: Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Aggregated Age/Sex) v2",TX_RET_N_DSD_Aggregated_Age_Sex_v2,dwJGsiYKDCh,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, DSD): Alive at 12 mo. after initiating ART","TX_RET (N, DSD)",TX_RET_N_DSD,Y3s0CtjmmYd,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, DSD, Preg/Feeding): Alive at 12 mo. after initiating ART","TX_RET (N, DSD, Preg/Feeding)",TX_RET_N_DSD_Preg_Feeding,I9MO0VAFjar,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART"
"TX_RET (N, TA, 24mo): Alive at 24 mo. after initiating ART","TX_RET (N, TA, 24mo)",TX_RET_N_TA_24mo,HzfJPr391em,"Number of adults and children who are still alive and on treatment at 24 months after initiating ART"
"TX_RET (N, TA, 36mo): Alive at 36 mo. after initiating ART","TX_RET (N, TA, 36mo)",TX_RET_N_TA_36mo,TqwfDYSW8pr,"Number of adults and children who are still alive and on treatment at 36 months after initiating ART"
"TX_RET (N, TA, AgeAboveTen/Sex): Alive at 12 mo. after initiating ART","TX_RET (N, TA, Age>10/Sex)",TX_RET_N_TA_Agegt10_Sex,xma2OgOYg6b,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, TA, AgeLessThanTen): Alive at 12 mo. after initiating ART","TX_RET (N, TA, Age<10)",TX_RET_N_TA_Agelt10,F6it5v0n0tZ,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, TA, Aggregated Age/Sex) v2: Alive at 12 mo. after initiating ART","TX_RET (N, TA, Aggregated Age/Sex) v2",TX_RET_N_TA_Aggregated_Age_Sex_v2,QKGLf8KorrW,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, TA): Alive at 12 mo. after initiating ART","TX_RET (N, TA)",TX_RET_N_TA,U31v2B32PEj,"Number of adults and children who are still alive and on treatment at 12 months after initiating ART"
"TX_RET (N, TA, Preg/Feeding): Alive at 12 mo. after initiating ART","TX_RET (N, TA, Preg/Feeding)",TX_RET_N_TA_Preg_Feeding,HdRYfCJUfsc,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART"
"TX_TB (D, DSD, Aggregated Age/Sex): TB Screening","TX_TB (D, DSD, Aggregated Age/Sex)",TX_TB_D_DSD_Aggregated_Age_Sex,T7rj9Gu3AE5,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, DSD, PositiveScreen): TB Screening","TX_TB (D, DSD, PositiveScreen)",TX_TB_D_DSD_PositiveScreen,yCynbhxYt2J,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, DSD, Specimen Sent): TB Screening","TX_TB (D, DSD, Specimen Sent)",TX_TB_D_DSD_Specimen_Sent,DNBNdX8yu4C,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, DSD): TB Screening","TX_TB (D, DSD)",TX_TB_D_DSD,BxplSX6AMR6,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, DSD, TB Test Type): TB Screening","TX_TB (D, DSD, TB Test Type)",TX_TB_D_DSD_TB_Test_Type,USg8dlTs8WO,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA, Aggregated Age/Sex): TB Screening","TX_TB (D, TA, Aggregated Age/Sex)",TX_TB_D_TA_Aggregated_Age_Sex,VY3BcKGEB7s,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA, PositiveScreen): TB Screening","TX_TB (D, TA, PositiveScreen)",TX_TB_D_TA_PositiveScreen,l6HoL7ZsxiK,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA, Specimen Sent): TB Screening","TX_TB (D, TA, Specimen Sent)",TX_TB_D_TA_Specimen_Sent,dI2h6FeHa1F,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA): TB Screening","TX_TB (D, TA)",TX_TB_D_TA,N0Vy8kcuTLD,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (D, TA, TB Test Type): TB Screening","TX_TB (D, TA, TB Test Type)",TX_TB_D_TA_TB_Test_Type,Cd1vNqVcel4,"Number of ART patients who were screened for TB at least once during the reporting period"
"TX_TB (N, DSD, Aggregated Age/Sex): TB Treatment","TX_TB (N, DSD, Aggregated Age/Sex)",TX_TB_N_DSD_Aggregated_Age_Sex,ZoeXn0anTrO,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, DSD, NewExistingArt): TB Treatment","TX_TB (N, DSD, NewExistingArt)",TX_TB_N_DSD_NewExistingArt,CEANcO1xqgC,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, DSD): TB Treatment","TX_TB (N, DSD)",TX_TB_N_DSD,sMSOSm1lxG1,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, TA, Aggregated Age/Sex): TB Treatment","TX_TB (N, TA, Aggregated Age/Sex)",TX_TB_N_TA_Aggregated_Age_Sex,MbbMzAuP198,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, TA, NewExistingArt): TB Treatment","TX_TB (N, TA, NewExistingArt)",TX_TB_N_TA_NewExistingArt,WQowTtUTc97,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, TA): TB Treatment","TX_TB (N, TA)",TX_TB_N_TA,KNyBbjdj7I9,"Number of ART patients who were started on TB treatment during the reporting period"
"VMMC_CIRC (N, DSD, Age) v2: Voluntary Circumcised","VMMC_CIRC (N, DSD, Age) v2",VMMC_CIRC_N_DSD_Age_v2,wVQNHCLERRr,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
