dataelement,shortname,code,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Female, Negative",MBCxSpEpqQ9,MBCxSpEpqQ9
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Female, Positive",VdWPA7ZsG16,VdWPA7ZsG16
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Male, Negative",JevNCPpbfiA,JevNCPpbfiA
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Male, Positive",Bg6Fz85OiHn,Bg6Fz85OiHn
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Female, Negative",BODl0Rp0Qv6,BODl0Rp0Qv6
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Female, Positive",lWGvC0Cxb6c,lWGvC0Cxb6c
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Male, Negative",MOgc5CUZPxT,MOgc5CUZPxT
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Male, Positive",lTGq7tpNEIh,lTGq7tpNEIh
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Female, Negative",vjUqq1nD06d,vjUqq1nD06d
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Female, Positive",eKi2JrxXOod,eKi2JrxXOod
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Male, Negative",bA8IsAMWrwK,bA8IsAMWrwK
"HTS_TST (N, DSD, VCT/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Age>10/Sex/Result)",HTC_TST_N_DSD_VCT_Agegt10_Sex_Result,HClygqtgRlE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Male, Positive",ShBelJWI7TI,ShBelJWI7TI
"HTS_TST (N, DSD, VCT/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, VCT/Age<10/Result)",HTC_TST_N_DSD_VCT_Agelt10_Result,vy6rXovePNZ,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","1-9, Negative",aGE34A1232w,aGE34A1232w
"HTS_TST (N, DSD, VCT/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, VCT/Age<10/Result)",HTC_TST_N_DSD_VCT_Agelt10_Result,vy6rXovePNZ,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","1-9, Positive",Cq6i2SJViTm,Cq6i2SJViTm
"HTS_TST (N, DSD, VCT/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, VCT/Age<10/Result)",HTC_TST_N_DSD_VCT_Agelt10_Result,vy6rXovePNZ,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<1, Negative",UUSVaxGgMR0,UUSVaxGgMR0
"HTS_TST (N, DSD, VCT/AgeLessThanTen/Result): HTS received results","HTS_TST (N, DSD, VCT/Age<10/Result)",HTC_TST_N_DSD_VCT_Agelt10_Result,vy6rXovePNZ,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<1, Positive",TYRdnlMBYqt,TYRdnlMBYqt
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Female, Negative",SpQbhb9EJjt,SpQbhb9EJjt
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15+, Female, Negative",Pjb5TRAmBGi,Pjb5TRAmBGi
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Female, Positive",mq33twqgDWZ,mq33twqgDWZ
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15+, Female, Positive",LnYfq7wx1hN,LnYfq7wx1hN
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Male, Negative",T4GeVmTlku0,T4GeVmTlku0
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15+, Male, Negative",yRKlFwgl0rw,yRKlFwgl0rw
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Male, Positive",PrS9RqE1nmz,PrS9RqE1nmz
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15+, Male, Positive",E2NnF5pE5K1,E2NnF5pE5K1
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Female, Negative",TYbr3JOxa52,TYbr3JOxa52
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Female, Positive",XDTwB2A1yY0,XDTwB2A1yY0
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Male, Negative",T7QvqSUhsns,T7QvqSUhsns
"HTS_TST (N, DSD, VCT/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, DSD, VCT/Agg Age/Sex/Result)",HTC_TST_N_DSD_VCT_Agg_Age_Sex_Result,h5Td1TsyndR,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Male, Positive",WhxSPg1g9Og,WhxSPg1g9Og
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Negative",qqaHfm4t9EY,qqaHfm4t9EY
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Positive",NLPj5lmzQZQ,NLPj5lmzQZQ
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15-19, Negative",UJcK94iyp3i,UJcK94iyp3i
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15-19, Positive",XnCM6XxS3Dv,XnCM6XxS3Dv
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","1-9, Negative",OST8fg44s7V,OST8fg44s7V
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","1-9, Positive",gmwwvvmHf5a,gmwwvvmHf5a
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<1, Negative",Q3NeEb8Huz2,Q3NeEb8Huz2
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<1, Positive",zuDOHA3TLef,zuDOHA3TLef
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","20-24, Negative",HlCXdIZbQCu,HlCXdIZbQCu
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","20-24, Positive",KhlJKEzQiHK,KhlJKEzQiHK
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Negative",pRqdG7xmByt,pRqdG7xmByt
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Positive",P4TLx1LC1Zj,P4TLx1LC1Zj
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Negative",pwSfN2vb6gX,pwSfN2vb6gX
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Positive",Mf58GEfo7fU,Mf58GEfo7fU
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Negative",JTprhaxYHHR,JTprhaxYHHR
"HTS_TST (N, DSD, VMMC/Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Age/M/Result)",HTC_TST_N_DSD_VMMC_Age_M_Result,ZfLcareJqZN,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Positive",QDQM54MOd8w,QDQM54MOd8w
"HTS_TST (N, DSD, VMMC/Aggregated Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Agg Age/M/Result)",HTC_TST_N_DSD_VMMC_Agg_Age_M_Result,oc5BUGoR9H7,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Negative",QTVjN6VK5He,QTVjN6VK5He
"HTS_TST (N, DSD, VMMC/Aggregated Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Agg Age/M/Result)",HTC_TST_N_DSD_VMMC_Agg_Age_M_Result,oc5BUGoR9H7,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15+, Negative",DDufD0xRgyf,DDufD0xRgyf
"HTS_TST (N, DSD, VMMC/Aggregated Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Agg Age/M/Result)",HTC_TST_N_DSD_VMMC_Agg_Age_M_Result,oc5BUGoR9H7,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Positive",Y1LWVrEVn1E,Y1LWVrEVn1E
"HTS_TST (N, DSD, VMMC/Aggregated Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Agg Age/M/Result)",HTC_TST_N_DSD_VMMC_Agg_Age_M_Result,oc5BUGoR9H7,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15+, Positive",KsblFWjBsAH,KsblFWjBsAH
"HTS_TST (N, DSD, VMMC/Aggregated Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Agg Age/M/Result)",HTC_TST_N_DSD_VMMC_Agg_Age_M_Result,oc5BUGoR9H7,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Negative",gtznOAR9l3S,gtznOAR9l3S
"HTS_TST (N, DSD, VMMC/Aggregated Age/Male/Result): HTS received results","HTS_TST (N, DSD, VMMC/Agg Age/M/Result)",HTC_TST_N_DSD_VMMC_Agg_Age_M_Result,oc5BUGoR9H7,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Positive",CVa9SOHs7YZ,CVa9SOHs7YZ
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Female, Negative",TDHx9BOctLY,TDHx9BOctLY
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Female, Positive",pPoX6WdTN1o,pPoX6WdTN1o
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Male, Negative",XgKovS7fFRx,XgKovS7fFRx
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","10-14, Male, Positive",oTktnIbDgWE,oTktnIbDgWE
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15-19, Female, Negative",HsMbK8KguaI,HsMbK8KguaI
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15-19, Female, Positive",eMDryqgBqKh,eMDryqgBqKh
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15-19, Male, Negative",lWu7SBzobyy,lWu7SBzobyy
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15-19, Male, Positive",MdmCNJP0m4l,MdmCNJP0m4l
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","20-24, Female, Negative",RWamubq4SlI,RWamubq4SlI
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","20-24, Female, Positive",hslBabVtfA5,hslBabVtfA5
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","20-24, Male, Negative",kDRgHjq9iSD,kDRgHjq9iSD
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","20-24, Male, Positive",Y7O1XuHabt3,Y7O1XuHabt3
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Female, Negative",MBCxSpEpqQ9,MBCxSpEpqQ9
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Female, Positive",VdWPA7ZsG16,VdWPA7ZsG16
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Male, Negative",JevNCPpbfiA,JevNCPpbfiA
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","25-49, Male, Positive",Bg6Fz85OiHn,Bg6Fz85OiHn
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Female, Negative",BODl0Rp0Qv6,BODl0Rp0Qv6
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Female, Positive",lWGvC0Cxb6c,lWGvC0Cxb6c
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Male, Negative",MOgc5CUZPxT,MOgc5CUZPxT
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","50+, Male, Positive",lTGq7tpNEIh,lTGq7tpNEIh
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Female, Negative",vjUqq1nD06d,vjUqq1nD06d
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Female, Positive",eKi2JrxXOod,eKi2JrxXOod
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Male, Negative",bA8IsAMWrwK,bA8IsAMWrwK
"HTS_TST (N, TA, Index/AgeAboveTen/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Age>10/Sex/Result)",HTC_TST_N_TA_Index_Agegt10_Sex_Result,N8Uro2XMHnE,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","Unknown Age, Male, Positive",ShBelJWI7TI,ShBelJWI7TI
"HTS_TST (N, TA, Index/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, Index/Age<10/Result)",HTC_TST_N_TA_Index_Agelt10_Result,qRiqUriWljj,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","1-9, Negative",aGE34A1232w,aGE34A1232w
"HTS_TST (N, TA, Index/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, Index/Age<10/Result)",HTC_TST_N_TA_Index_Agelt10_Result,qRiqUriWljj,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","1-9, Positive",Cq6i2SJViTm,Cq6i2SJViTm
"HTS_TST (N, TA, Index/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, Index/Age<10/Result)",HTC_TST_N_TA_Index_Agelt10_Result,qRiqUriWljj,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<1, Negative",UUSVaxGgMR0,UUSVaxGgMR0
"HTS_TST (N, TA, Index/AgeLessThanTen/Result): HTS received results","HTS_TST (N, TA, Index/Age<10/Result)",HTC_TST_N_TA_Index_Agelt10_Result,qRiqUriWljj,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<1, Positive",TYRdnlMBYqt,TYRdnlMBYqt
"HTS_TST (N, TA, Index/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Agg Age/Sex/Result)",HTC_TST_N_TA_Index_Agg_Age_Sex_Result,L6q82WmpJvd,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Female, Negative",SpQbhb9EJjt,SpQbhb9EJjt
"HTS_TST (N, TA, Index/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Agg Age/Sex/Result)",HTC_TST_N_TA_Index_Agg_Age_Sex_Result,L6q82WmpJvd,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15+, Female, Negative",Pjb5TRAmBGi,Pjb5TRAmBGi
"HTS_TST (N, TA, Index/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Agg Age/Sex/Result)",HTC_TST_N_TA_Index_Agg_Age_Sex_Result,L6q82WmpJvd,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Female, Positive",mq33twqgDWZ,mq33twqgDWZ
"HTS_TST (N, TA, Index/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Agg Age/Sex/Result)",HTC_TST_N_TA_Index_Agg_Age_Sex_Result,L6q82WmpJvd,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","15+, Female, Positive",LnYfq7wx1hN,LnYfq7wx1hN
"HTS_TST (N, TA, Index/Aggregated Age/Sex/Result): HTS received results","HTS_TST (N, TA, Index/Agg Age/Sex/Result)",HTC_TST_N_TA_Index_Agg_Age_Sex_Result,L6q82WmpJvd,"Number of individuals who received HIV Testing Services (HTS) and received their test results.","<15, Male, Negative",T4GeVmTlku0,T4GeVmTlku0
